TIMECLOUD_OBSERVER	      | 	4|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_OBSERVER	      | 	5|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_OBSERVER	      | 	6|N_TASK_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_OBSERVER	      | 	7|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_PROJECT	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_PROJECT	      | 	2|N_TASK_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_PROJECT	      | 	3|V_DESC			|VARCHAR2												   |	    400|N
TIMECLOUD_PROJECT	      | 	4|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_PROJECT	      | 	5|V_EDT_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_PROJECT	      | 	6|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_PROJECT	      | 	7|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_PROJECT	      | 	8|V_START_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_PROJECT	      | 	9|V_END_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_PROJECT	      |        10|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_PROJECT	      |        11|C_STATUS			|CHAR													   |	      2|N
TIMECLOUD_PROJECT	      |        12|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	2|N_PARENT_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	3|N_LIST			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	4|N_LEVEL			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	5|N_RIDX			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      | 	6|V_DESC			|VARCHAR2												   |	    400|N
TIMECLOUD_TASK		      | 	7|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_TASK		      | 	8|V_EDT_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_TASK		      | 	9|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_TASK		      |        10|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TASK		      |        11|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_TASK		      |        12|C_STATUS			|CHAR													   |	      2|N
TIMECLOUD_TASK		      |        13|C_TASK_TYPE			|CHAR													   |	     10|N
TIMECLOUD_TASK		      |        14|V_HIDE			|CHAR													   |	      1|Y
TIMECLOUD_TASK		      |        15|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TEAM		      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_TEAM		      | 	2|V_NAME			|VARCHAR2												   |	     50|N
TIMECLOUD_TEAM		      | 	3|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_TEAM		      | 	4|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_TEAM		      | 	5|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_TEAM		      | 	6|V_EDT_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_TEAM		      | 	7|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TEAM_USER	      | 	1|N_TEAM_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TEAM_USER	      | 	2|N_USER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_TEAM_USER	      | 	3|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_TEAM_USER	      | 	4|N_DOMAIN_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_USER		      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_USER		      | 	2|V_EMAIL			|VARCHAR2												   |	    100|N
TIMECLOUD_USER		      | 	3|V_PASSWD			|VARCHAR2												   |	     32|N
TIMECLOUD_USER		      | 	4|V_NAME			|VARCHAR2												   |	    100|N
TIMECLOUD_USER		      | 	5|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_USER		      | 	6|V_EDT_DATETIME		|VARCHAR2												   |	     24|N
TIMECLOUD_USER		      | 	7|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_USER		      | 	8|C_OFF_YN			|CHAR													   |	      1|N
TIMECLOUD_USER		      | 	9|V_TEL 			|VARCHAR2												   |	    150|Y
TIMECLOUD_USER		      |        10|V_NOTI_EMAIL			|VARCHAR2												   |	    100|Y
TIMECLOUD_USER		      |        11|V_LAST_LOGIN_DATETIME 	|VARCHAR2												   |	     14|Y
TIMECLOUD_USER_IMAGE	      | 	1|N_IDX 			|NUMBER 												   |	     22|N
TIMECLOUD_USER_IMAGE	      | 	2|V_ORIGIN_NAME 		|VARCHAR2												   |	   2000|N
TIMECLOUD_USER_IMAGE	      | 	3|V_SAVE_NAME			|VARCHAR2												   |	   2000|N
TIMECLOUD_USER_IMAGE	      | 	4|V_EXT 			|VARCHAR2												   |	     50|N
TIMECLOUD_USER_IMAGE	      | 	5|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_USER_IMAGE	      | 	6|V_REG_DATETIME		|VARCHAR2												   |	     14|N
TIMECLOUD_USER_IMAGE	      | 	7|N_FILE_SIZE			|NUMBER 												   |	     22|Y
TIMECLOUD_USER_IMAGE	      | 	8|C_DEL_YN			|CHAR													   |	      1|N
TIMECLOUD_USER_IMAGE	      | 	9|C_SELECTED_YN 		|CHAR													   |	      1|N
TIMECLOUD_USER_PARTNER	      | 	1|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_USER_PARTNER	      | 	2|N_PARTNER_IDX 		|NUMBER 												   |	     22|N
TIMECLOUD_USER_PARTNER	      | 	3|V_REG_DATETIME		|VARCHAR2												   |	     14|Y
TIMECLOUD_USER_SNSMAP	      | 	1|N_OWNER_IDX			|NUMBER 												   |	     22|N
TIMECLOUD_USER_SNSMAP	      | 	2|C_SNS_TYPE			|CHAR													   |	      2|N
TIMECLOUD_USER_SNSMAP	      | 	3|V_ACCESS_TOKEN		|VARCHAR2												   |	    500|Y
TIMECLOUD_USER_SNSMAP	      | 	4|V_REG_DATETIME		|VARCHAR2												   |	     14|Y
